مرأ , مرأني
طيب , الطيبى
دربأ , تدربأ
أشب , أشبة
بوب , بأبواب
شيب , شيوب
أشب , مأشوب
نشأ , ينشىء
مرأ , مرؤ
نبأ , نبأته
ذبب , ذب
ربأ , فرابأت
ضبب , ضبيبا
شيب , مشيبي
دبب , دبته
رفأ , بالرفاء
جيأ , جايأت
سوأ , وسوائية
شيب , شيبه
هنأ , وهنأ
ربب , الربي
أبب , أبي
شيأ , والشيآن
مرأ , والمرء
عيب , ومعيوب
دفأ , يدفئه
جبب , الجب
جيأ , وأجأته
ردأ , أرداء
أبب , أباب
وطأ , ووطؤ
نشأ , الناشىء
درأ , الدارئ
برأ , وأبرأه
نبأ , ونبآء
مرأ , فاستمرأته
خبب , والخب
أدب , تأديبا
سبب , فسب
خطأ , خطاءتها
سيب , سائبا
ثوب , كثوب
جوب , وجبت
بوأ , الباء
ربأ , والربأة
ربأ , ربأه
زبب , زبب
حلأ , والتحليء
ظمأ , والظمآن
روب , والروبة
نسأ , بنسأة
هنأ , ليهنئك
عيب , كالمعاب
دفأ , ودفؤت
مرأ , ومرأني
كفأ , مكافأة
لبأ , لبأها
عبأ , عبآن
عيب , وعيوب
زبب , زببت
وبأ , ووبؤت
شنأ , شانئك
سبب , وتسابا
أشب , مؤتشب
درأ , والدريئة
حبب , وتحبب
شبب , كالشبوب
ذبب , ذبت
حبب , الحب
لبأ , يلبؤها
فيأ , فتفيأت
حلأ , الحلوء
كفأ , كفؤا
نبأ , والنبيء
جوب , الجيب
طبب , طبنا
بدأ , بدأ
ربب , وربك
برأ , وبرأ
حوب , والحوبة
جزأ , مجزأ
شنأ , ومشنأة
سبب , وسابه
طبب , طبا
نوأ , ينوءه
عبأ , معبئي
جبب , اجتب
زبب , وزببة
قرأ , مقرئة
صبب , فاصطب
أبب , الوب
جوب , أجواب
برأ , بريء
شيب , شيبانان
دفأ , اتدفأ
برأ , براوي
خبب , وخبيبا
سوأ , فالسوأة
خيب , يخيب
برأ , وبرءا
سوأ , سوأة
كلأ , كلأك
جوب , فليجيبوني
طيب , مطيوبة
شنأ , وشنأى
بوب , وباب
ملأ , والملاءة
ربأ , الربايا
كلأ , إكلاء
عبب , العبعبا
خطأ , وخطئ
سوأ , والسيىء
درأ , تدرئكم
رفأ , وترافؤوا
ثوب , يثب
بوب , البابشامي
هدأ , أهدأ
وطأ , فوطئه
جيأ , وجياء
وضأ , وضيئة
خطأ , خطئت
جزأ , تجزيئا
ذوب , ذاب
روب , بالرائب
دبب , والدباب
ظمأ , ظمأى
أبب , وأبت
عبب , عبية
درأ , ودروء
طيب , وطيبا
خبب , وخببا
صبب , صبابته
حلأ , تحليئا
شيب , الشيب
جبأ , جبئوا
بدأ , وبدىء
درأ , والدرايا
عبأ , عب
نبأ , والنبيئون
ضبب , أضب
بدأ , البدايا
ربب , وربيك
أبب , الأباب
نشأ , نشؤ
سيب , سيب
نوأ , نيئا
عبب , العنبب
صوب , وصاب
ضبب , والمضبب
جزأ , إجزاء
ربأ , مرباء
أشب , والأشابة
شوب , المشوب
كلأ , والكالىء
روب , يروب
جبأ , كجبأة
جيأ , جآء
مرأ , مروءة
أشب , أشبه
هنأ , يهنأ
دبب , والدبابة
هدأ , وهديء
ربب , مربته
برأ , وبريء
نبأ , بنبإ
وضأ , أتوضأ
هوأ , وهوىء
فيأ , فاءت
أرب , وأراب
نسأ , تنسئة
نبأ , نبأ
حبب , كالحباب
ملأ , وملئه
دبب , الأدبب
أرب , وإربهن
ظمأ , وأظمأه
طبب , الطبابا
حبب , والحبة
خطأ , فخطئني
ثوب , ثوبا
رفأ , وترافأنا
شيأ , شيأته
هنأ , وهنأتنيه
ذوب , يذيب
صبب , ينصب
ضبب , مضبا
صبب , ويتصبب
جيأ , مجيئه
بدأ , تبدأ
حبب , أحبه
كفأ , وكفؤه
طيب , يطيب
برأ , وبرىء
أرب , إربة
ضبب , ضببت
حبب , حبابك
وبأ , وبيئة
هوأ , مهوأنا
رفأ , أرفأت
خيب , دأبك
ظمأ , الظمأ
ثوب , والثبة
خبب , كالخبيبة
ضبب , ضب
سيب , وانساب
بدأ , وباديى
ملأ , ومملوء
وضأ , الوضاءة
قرأ , واستقرأه
حلأ , حلأ
عبب , العبعاب
حلأ , محلإ
دفأ , دفء
أشب , أشب
ظمأ , وظماء
شيأ , وأشاوه
جزأ , جزىء
قرأ , وأقرأ
لبأ , وألبئوا
ذبب , مذبب
لبأ , ألبأ
برأ , ويبرؤ
برأ , براء
هدأ , وأهدأه
ذوب , المذوبة
سيب , انسابت
حبب , وحبابا
جبأ , جبأة
فيأ , إفاءة
وطأ , ووطأته
ربب , ورب
شوب , والشياب
دفأ , دفيء
أوب , الأوب
ثوب , وثوبانا
هدأ , وهدوءا
شيأ , وشئته
ظمأ , ظمئت
صبب , اصطببت
أدب , يأدب
صوب , والتصوب
هنأ , وهنأني
نوأ , لتنوء
هنأ , والمهنأ
جزأ , جزءا
أشب , وأشبته
هنأ , هنيئا
شبب , شبابا
ملأ , ملأته
بوأ , بوأة
صبب , وتصبب
شنأ , شنىء
سيب , السيبي
حلأ , بالحلاءة
ظمأ , وظمآن
درأ , كادرءوا
هدأ , هدءا
بوأ , يتباوءوا
زبب , زبيبا
نبأ , وأنبأ
وطأ , كوطأه
عبأ , وعبأ
شيأ , شيئا
جيأ , أجأته
طبب , وطبب
أوب , والأيبة
ذبب , ذبب
شيأ , وأشياوات
سيب , السيوب
أشب , مؤشب
حوب , حوبا
ذوب , ذوبا
ذبب , وذب
نسأ , وأنسأه
ظمأ , وظمأه
نشأ , بنشء
زبب , تزبب
خيب , أدأب
صبب , صب
عبب , بعبابها
شوب , المشاوب
زبب , الزبيبيون
بوأ , بؤت
درأ , دريئة
شوب , شيبان
ضبب , ضبابه
ربأ , والمرتبأ
كلأ , الكلأ
درأ , الدراء
سبب , والتساب
شبب , الشبوب
جوب , جابوا
روب , وأرابه
كفأ , أكفاء
هوأ , هأن
حوب , وحابوا
خطأ , خطأ
ملأ , ملىء
وطأ , وطيء
هنأ , تهنأت
بوب , بوابا
شبب , الشواب
جبأ , وجبىء
ذوب , ذوب
صوب , كالتصوب
خبب , خبب
برأ , برآء
ربأ , وربأة
بدأ , بداءة
صوب , يصوب
ربب , الأرباب
ذرب , ذربات
جبب , تجبهن
شنأ , المشنأ
ردأ , وأردأ
عبأ , وعباية
ذأب , المتذائب
شيب , شيباء
ذرب , مذروب
درأ , الدرائئ
ردأ , أردأته
فيأ , فيئها
هدأ , فهدؤوا
ذأب , كتذأب
بدأ , ابتدأ
ذبب , وذبذب
ربب , وربها
أدب , والمأدبة
رفأ , ورافأني
كلأ , يكلؤه
حلأ , حلاه
هنأ , هناءة
ثرب , ثروب
برأ , برايي
جوب , وأجيبها
شيأ , أشيايا
ظمأ , ظمآن
أدب , تأدب
خطأ , وأخطأت
عيب , عيبا
ضبب , تضب
كفأ , للكفء
حبب , أحببته
ذوب , والإذوابة
نوأ , نوأ
فيأ , المفيوءة
خيب , يدأبان
ملأ , وأملاء
صبب , واصطببت
وبأ , وبأ
عبب , اليعبوب
ثوب , وأثاب
أبب , والأباب
دبب , ديبوب
ردأ , أردؤه
عبأ , عبأت
صبب , تصاببت
دفأ , دفؤ
نوأ , استناءوا
ربب , مربوب
طيب , كالطياب
جيأ , ومجيئا
بوأ , باءة
جوب , مجوب
سوأ , السوأى
طبب , مطبوب
زبب , زبزب
وضأ , يتوضأ
خيب , خياب
درأ , ودرآء
رفأ , رفء
خطأ , أخطأتم
ملأ , الامتلاء
جوب , الإجابة
هوأ , هوت
سوأ , يسوءه
حلأ , كالتحلئة
ذبب , ذبة
فيأ , وتفيأت
قرأ , إقراء
خيب , دؤوب
جبب , تجبيب
حوب , الحوبات
هدأ , هدئك
ثوب , ومثاب
شبب , والشبيبة
سوأ , كالسوآء
خطأ , والخطاء
حوب , وحيبة
ظمأ , المظمئي
دبب , والدبة
وطأ , يطأ
جبأ , كالجباءة
ثوب , يثوب
ظمأ , ظمآنة
نسأ , والنسيء
أبب , أبابته
مرأ , ومرئت
نسأ , النسأة
أبب , الأب
بأبأ , البأب
وضأ , وضاضىء
طبب , وطباب
خيب , دأب
بوب , والباب
عبب , وعب
خبب , خاب
ملأ , ملآن
مرأ , ومرؤ
حوب , وحوبة
ظمأ , يظمأ
وبأ , أوباء
وبأ , فأوبأ
طبب , والطبابة
كلأ , وكلاءة
فيأ , يفيء
ذوب , الذاب
جزأ , الجزأة
أشب , يأشبه
ربب , والرباني
فيأ , مفيؤة
طبب , طبيبا
حبب , يحب
نسأ , ونسأه
حبب , والحب
حبب , المحب
زبب , أزب
نشأ , نواشىء
شيأ , والشيء
برأ , تبرأ
بوأ , وبوأ
ظمأ , وظمأ
وطأ , وتوطأه
صوب , كالصواب
نوأ , يناء
طبب , يطب
خطأ , كأخطأ
ملأ , وملآنة
وضأ , وضائين
شوب , لشوبا
نسأ , ونسأتها
ملأ , امتلاء
دبب , ودبيبا
ربأ , وارتبأ
جبب , الجباء
صبب , صبابة
كلأ , اكلأ
ذأب , مذأبة
نوأ , بنوء
سبب , سبات
نسأ , لنسأة
أشب , أشبت
جزأ , تجزئة
جبب , جباء
كلأ , كلاء
طبب , الطباب
بوب , البوباة
حبب , يحبها
نبأ , أنبأ
ذأب , الذئب
شنأ , المشناء
سيب , كانساب
رفأ , رفأه
عبب , كالعبعاب
درأ , دروءا
جوب , كالجوب
عبب , تعبوه
عيب , عيب
فيأ , والتفيؤ
سيب , وتسيب
سبب , سبته
ثوب , ثاب
أدب , الأديب
برأ , بريؤون
جزأ , تجزىء
كفأ , كفاؤه
حبب , حبابها
شوب , بالشوب
حلأ , الحلاءة
كلأ , ومكلأة
دبب , كالدب
بوب , بابات
حوب , الحوب
نسأ , وأنسأته
عبأ , الأعباء
وضأ , إضاء
سوأ , المساءة
هدأ , ومهدإ
صبب , يصب
كفأ , كفأ
وبأ , وتوبأ
سبب , للسب
لبأ , استلبأ
دبب , دويبة
أرب , كالأربة
ظمأ , والظمء
جزأ , جزأ
نوأ , نوؤها
وبأ , وأوبىء
حربأ , احرنبأ
جبب , كالجباب
عيب , العيب
دفأ , المستدفئ
رفأ , ترفئة
أرب , لأربه
أوب , والتأوب
ربأ , ربأت
وطأ , يطؤه
حبب , والحبيب
ضبب , وضباب
أدب , أودب
شبب , وشببتها
أرب , وأرب
دبب , الدبة
ذوب , والإذواب
ذبب , كذبب
بوأ , وتباوءا
وطأ , والوطوءة
عيب , عيبته
رطب , رطيب
وبأ , الوبأ
أدب , أدبه
طبب , طب
ذبب , مذب
دبب , الديبوب
جيأ , والجيء
وضأ , يوضؤ
ذبب , والأذب
شيأ , ومشاءة
طيب , بالطيب
دفأ , دفئ
سوأ , بسيىء
نسأ , ينسؤها
أوب , والإيبة
ربب , ربتها
وطأ , والوطيء
ثوب , وثبته
