دبب ,وأدب
بكأ ,بكأ
ظمأ ,ظماء
حلأ ,والتحليء
صبب ,صبتي
صوب ,صوبة
زنأ ,وأزنأه
وكأ ,إتكاء
دبب ,مدب
فقأ ,فقأ
دنب ,الدنب
ردأ ,أردأ
حزأ ,محزوزأين
أبب ,وأبيبا
أشب ,وأشبه
صدأ ,صدأى
لألأ ,لؤلؤة
رهيأ ,ترهيأ
قرأ ,تقرؤا
نشأ ,ونشأه
ودأ ,وودأ
حبب ,والحبيب
كثأ ,يكثأ
هوأ ,المهوأة
شبب ,شبت
سبب ,وسبسبه
فثأ ,فثأ
ثوب ,بثياب
حتأ ,يحتأ
أوب ,تؤوبا
كرفأ ,ككرفئة
عرب ,بالعرب
هوأ ,هأ
كفأ ,وكفأه
هنأ ,هنؤ
طفشأ ,الطفنشأ
رهيأ ,ورهيأت
سوأ ,يسوءني
ألب ,والتألب
طبب ,وطباطبا
سلأ ,السلاء
ثدأ ,بالثندؤة
رهب ,وترهبه
تبب ,بتبة
صوب ,أصبت
حبب ,وحببت
صبب ,كالصبصب
كلأ ,تكلأت
شحب ,وشحوبة
هيأ ,يتهايأ
جبب ,مجبوب
فسأ ,كتفسأه
جيأ ,ومجيئا
خطأ ,أخطأتم
حوب ,كالحوب
صهب ,الصهب
عبب ,عب
جرأ ,الجرة
جوب ,وتجاوبت
عقب ,عقباها
حبب ,حبحابا
ببب ,والببة
جيأ ,وجاءأني
طيب ,الطيبة
ذرأ ,مذرىء
لألأ ,اللآلىء
أزب ,إزب
صقلب ,صقلب
أشب ,تأشبوا
شيأ ,والشيء
خبأ ,كخبأه
سكب ,اسكب
مكأ ,والمكء
شنأ ,أشنؤه
طرأ ,الطراء
ربب ,ربوبي
قثأ ,القثاء
أدب ,والأدبة
عشرب ,عشرب
جوب ,وجوبان
صوب ,الصاب
دفأ ,دفيء
ذوب ,ذابت
حبطأ ,محبنطىء
ختأ ,أختتي
لتأ ,يلتأ
رزأ ,مرزأ
دبب ,ومدبية
عرتب ,العرتبة
صبب ,والصبوب
حقب ,الحقب
عيب ,الأعياب
هوأ ,هاؤم
حمأ ,حمئة
خلب ,خلبت
سبب ,السبائب
عقب ,والعقبان
هجأ ,إهجاء
وطأ ,طئة
صوب ,كالمصابة
أوأ ,الآء
ذرأ ,كالذراء
بأبأ ,وتبأبأ
ربب ,مرب
درأ ,التدارؤ
رأب ,ورأب
جسأ ,جاسئة
فيأ ,أفأت
جبب ,كالجباب
ومأ ,كإيماءه
نبأ ,أنبياء
خيب ,ودؤوبا
ملأ ,والملء
ذبب ,مذب
عيب ,عاب
ضنأ ,والضنء
دكأ ,دكأهم
أدب ,والمأدبة
دفأ ,دفأ
ألب ,يألبها
ورأ ,وراءهم
زبب ,الزبيبتين
رثأ ,كأرثأ
هتأ ,والهتوء
طيب ,والطوبى
بدأ ,البدايا
درأ ,والدريئة
ضبب ,ومضب
أوب ,والإياب
أوب ,والأيبة
تغب ,التغب
أبب ,ووب
حبب ,والحبابية
حبب ,الحبابي
خلأ ,وخلوء
شكأ ,شكأ
عتلب ,المعتلب
ودأ ,مودإ
كلأ ,والكلأة
صيب ,وصيابتهم
علب ,العلب
مسأ ,والماسيء
حثلب ,الحثلب
طبب ,والطبطبيه
ركب ,ركائب
درأ ,مدرئ
فنأ ,الفنأ
ثوب ,مثابتها
ركب ,ركبه
جوب ,أجوب
صأصأ ,الصئصئة
ردأ ,الأرداء
دحب ,الدحاب
بهأ ,بهأ
طشأ ,طشىء
ضنأ ,ضنأت
نسأ ,وانتسأ
عشب ,عشب
شصب ,الشصيبة
أبب ,أبابته
جبب ,والجباب
نشأ ,استنشأته
رجأ ,ومرجئة
جشأ ,وجشاء
رصب ,الرصب
هرأ ,والمهرأ
صحب ,وأصحبت
عكب ,عكب
أرب ,إربا
رهب ,ورهبه
ثوب ,وثبته
سكب ,يسكبه
حلب ,حالب
دأدأ ,الدأداء
دعب ,دعب
زأب ,زاء
ردأ ,ردأ
خبب ,خبا
دأدأ ,الدأدأة
بدأ ,ابتدأ
خوب ,خاب
ربب ,ربابه
بهأ ,كأبهأه
خطأ ,مخطئا
صقب ,صقب
توب ,للتوبة
ذرأ ,أذرأه
برأ ,واستبرأت
جنأ ,يجنأ
دفأ ,وأدفاء
ثعلب ,وثعلبان
حظب ,حظبا
هذأ ,هذأ
أرب ,يؤارب
بدأ ,بديت
صوب ,تصيبان
شيأ ,يشيئك
شنأ ,لشانئك
كأكأ ,تكأكؤا
أبأ ,الأباءة
أزب ,وتأزبوا
طحلب ,مطحلبة
كأكأ ,المتكأكىء
نوأ ,نوأ
ثوب ,أثوبه
خرأ ,وخروءا
كمأ ,يتكمؤون
نشأ ,ونشوءا
شزب ,كالشنزبة
طعزب ,الطعزبة
طيب ,طيبة
جشأ ,جشأة
دفأ ,والدفاء
ركب ,ركوب
ضأب ,ضؤبان
خبب ,مخبخبة
شطأ ,وأشطأت
كلأ ,كاكتلأت
ثوب ,وثوابا
زغب ,والزغب
خطأ ,بخطايا
لبأ ,ولبأتها
حبب ,حبة
كلأ ,يكلأ
ذوب ,يذوب
أرب ,ومأرب
جوب ,وجوبة
خيب ,يدأبان
لبأ ,يلبؤه
منأ ,المنيئة
ذبب ,المذبذبين
ملأ ,وامتلا
كشأ ,كشئت
بنب ,بانب
خبب ,بخبة
كرثأ ,والكراثاء
وبأ ,وتيبأ
طبب ,طبيبها
ملأ ,ملأه
حبب ,محب
وطأ ,توطئة
ردأ ,الردأين
صبب ,والتصبصب
قرأ ,يقرءون
أدب ,الإدب
فجأ ,وفاجأه
ذرأ ,الذرية
ربب ,تربها
كلأ ,وتكلئة
ثأب ,الأثأبة
جرأ ,الجراءة
خلأ ,يخلأ
شيب ,وشيب
ومأ ,أومأ
بكأ ,تبكأ
علنب ,اعلنبأ
رهب ,واسترهبه
دوب ,يدوب
قرأ ,واستقرأ
جيأ ,يجيك
رنب ,الأرنبة
ثوب ,أثؤب
ثعب ,يثعب
طسأ ,الطسأة
نشأ ,وينشؤ
شنأ ,وشنأة
دأدأ ,كالدآدئ
عكب ,العكب
سلأ ,سلاءها
رأب ,رأبا
رزأ ,والمرزئة
حرب ,والحرب
جخب ,الجخابة
حبب ,وحببة
حنب ,تحنيبا
ألأ ,وألاءات
شيأ ,المشيئين
نتأ ,ناتىء
خبب ,والخواب
رأب ,والرؤبة
أبب ,الأب
صوأ ,الصيئة
دبب ,أدباب
ركب ,الراكب
ضرب ,ضربه
روب ,روعيبة
دبب ,دباوي
بهأ ,بهأت
خبب ,بالخب
ظمأ ,المظمأ
نوأ ,المستناء
جحرب ,وجحارب
كدأ ,وكودأ
ظرب ,ظراب
ربأ ,وأربأ
لتأ ,واللتيء
فطأ ,وفطىء
ذبب ,الذبذب
دبب ,أدب
هنأ ,وهنئت
خبب ,وخبائب
بأبأ ,البؤبؤ
شنأ ,وشنائية
قنأ ,يقنأ
لبأ ,والتبأها
جزأ ,كأجزأني
طيب ,وطيبة
سغب ,وسغوبا
رقأ ,ليرقئه
دبب ,والأدب
ثأثأ ,ثأثأها
ضوأ ,يتضوؤك
أزب ,والميازيب
جوب ,جوبين
سبب ,للسب
وكأ ,فأتكأه
صوب ,وأصاب
أرب ,الأربى
كشأ ,وكشأ
بأبأ ,والبأباء
صبب ,صبابات
جزأ ,والجوازىء
صبب ,صبب
رأب ,ترأب
جبب ,المجبب
نسأ ,ينتسئونه
وضأ ,توضأ
رفأ ,وأرفأت
طنب ,والطنب
وطأ ,والموطأ
دأدأ ,الدآدئ
قمأ ,قميء
سوأ ,وسؤت
جلأ ,جلاء
هنأ ,لتهنىء
صهب ,كالصهبة
عقرب ,وعقربة
جيأ ,وجاء
جعدب ,والجعدبة
وبأ ,وتوبأته
فيأ ,فيئة
جبب ,الجبائي
جوب ,جوبه
بدأ ,يبدأ
صتأ ,صتأه
حبب ,استحبوا
جخدب ,والجخادب
ربب ,أربه
رأب ,والمرتأب
شيأ ,شيئا
هزأ ,وتهزأ
ذبب ,مذبب
صبأ ,صبأ
هوأ ,والهوء
مرأ ,يمرأ
جفأ ,فجفئوا
ربأ ,والربيئة
وكأ ,أتكأت
نأنأ ,نأنأة
جوب ,جواب
ودأ ,المودأة
ضنأ ,وضنأة
ضوأ ,واستضأت
هنأ ,أهنؤ
ثوب ,يثوب
نيأ ,والنيوأة
دوأ ,داآن
خردب ,خردتب
وطأ ,فوطئه
وكأ ,وكاء
فقأ ,فاقياء
شيب ,وشيبين
سرأ ,وسرؤها
دوأ ,داء
صئب ,والصؤبة
هتأ ,وهيتأ
هنأ ,لتهنأ
رطأ ,والرطأ
خلأ ,الخلاء
وكأ ,إيكاء
بكأ ,بكء
